EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 18:15:46"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus75"
StartYear,1991

Data,Catch

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2034,0,0,0,0,0,0.01120311,0.0003217137,0.0002553776,0,0.002527418,0.01066814,0.007012982,0.02563594,0.06026331,0.001199098,0.05192931,0.0003440964,0.151819,0.008574229,0.04758348,0.001155108,0.03848604,0.7247849,0.02015499,0.02989405,0.0264766,0.004310296,0.009258761,0.7137041,0.2372935,0.1247831,0.03599663,0.5068817,0.6269857,0.1118667,0.00163016,0.03647951,0.1683335,0.006459536,0.0110045,0.008028918,0.00169971,0.0005544125,0,0.005744472,0.007298797,0.1108817,0.004133491,0.000928673,0,0,0,0,0.02556884,0.03123403,0.01565528,0,0.1594461,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0.01110267,0.0003176483,0.000254947,0,0.002491203,0.01058881,0.006944036,0.02520816,0.05934119,0.00111626,0.05105425,0.0002585042,0.1466234,0.007639376,0.04481281,0.0012231,0.03918699,0.7324685,0.01980194,0.03007538,0.0264643,0.004259862,0.009187845,0.708471,0.2366589,0.1229694,0.03663344,0.5076931,0.6253408,0.1115309,0.001626687,0.03634859,0.1679915,0.006434816,0.01096316,0.007732654,0.001680102,0.0005548956,0,0.005705863,0.007355836,0.1107942,0.004139015,0.0009314715,0,0,0,0,0.02554526,0.03101219,0.01560538,0,0.1592033,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0.011026,0.0003143773,0.0002546568,0,0.002467752,0.01054528,0.006895222,0.02470919,0.0584758,0.001125458,0.04976409,0.0002306723,0.1363069,0.007148996,0.04133968,0.001290383,0.03946609,0.7419705,0.01967621,0.03026417,0.02635538,0.004238855,0.009081542,0.7065191,0.2389551,0.1213678,0.03726069,0.5143407,0.6238478,0.1112424,0.001627326,0.03622058,0.1679671,0.006411012,0.01092404,0.007510388,0.001673322,0.0005557692,0,0.005670409,0.007394806,0.1113415,0.00412307,0.0009309899,0,0,0,0,0.0255456,0.03088794,0.01556382,0,0.1596501,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0.01097044,0.0003118647,0.0002545241,0,0.002458015,0.01053771,0.006871278,0.0241795,0.05759818,0.001242134,0.04861068,0.0003498835,0.1218682,0.007133355,0.0381613,0.001355828,0.03935907,0.750654,0.01976771,0.03040957,0.02613653,0.004247732,0.008990795,0.7050235,0.2424396,0.1201668,0.03786965,0.525313,0.6227413,0.1110384,0.001632074,0.03611954,0.1682655,0.006392623,0.01089448,0.00737541,0.001677497,0.0005574817,0,0.005638021,0.007416029,0.1123011,0.004091552,0.0009279926,0,0,0,0,0.02556887,0.03090785,0.01553607,0,0.1603627,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0.01092971,0.0003099578,0.0002545159,0,0.002460008,0.01055861,0.006871656,0.02359287,0.05668168,0.00144515,0.04814494,0.00069261,0.1062617,0.007403236,0.03606539,0.001416855,0.03890333,0.7552619,0.0200265,0.03046132,0.02581199,0.004280162,0.008936427,0.7029641,0.2449768,0.1194209,0.03843867,0.5374818,0.6220711,0.1109153,0.001639477,0.03606397,0.1687968,0.006380453,0.01087669,0.007318236,0.001687552,0.0005603224,0,0.00560908,0.00742087,0.1133652,0.00405088,0.0009219463,0,0,0,0,0.0256066,0.03108394,0.01552166,0,0.1608962,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0.01089714,0.0003083542,0.0002545,0,0.002465284,0.01059082,0.006885512,0.02291429,0.05574524,0.001640151,0.04860465,0.0006392315,0.1067358,0.007664457,0.03524811,0.001468879,0.03814277,0.7500134,0.02023612,0.03037499,0.02547556,0.004316594,0.008894608,0.700474,0.244767,0.1189239,0.03890483,0.540197,0.6217458,0.1108404,0.001646601,0.03604349,0.1693933,0.006373284,0.01086842,0.00729985,0.001695594,0.0005637539,0,0.00558371,0.007409246,0.1139809,0.004014479,0.0009121849,0,0,0,0,0.02560922,0.03123334,0.01551318,0,0.1608067,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0.01086656,0.0003065931,0.000254223,0,0.002456217,0.01060493,0.006886716,0.02224153,0.05482101,0.001706624,0.04967171,0.0005491314,0.1289209,0.007686109,0.03527089,0.001506108,0.03730508,0.7345561,0.0201,0.03019369,0.02536809,0.004319549,0.008886811,0.6978872,0.2416423,0.1180869,0.03918346,0.524856,0.6216151,0.1107787,0.001649988,0.03599802,0.1698766,0.006370425,0.01086604,0.007248376,0.001693247,0.0005662984,0,0.005561228,0.007389425,0.1133463,0.004012107,0.0009035813,0,0,0,0,0.02553423,0.03108815,0.01550142,0,0.1604885,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0.01083216,0.0003045389,0.0002536405,0,0.002425779,0.01058689,0.006860962,0.02186687,0.05374088,0.001634342,0.05086498,0.0004755625,0.1466158,0.007391509,0.03543773,0.001527292,0.03677501,0.7206051,0.01970179,0.03005975,0.0254977,0.004276882,0.008905573,0.695525,0.2368056,0.1165393,0.03928663,0.5041063,0.6215593,0.1107148,0.001650345,0.03589765,0.1701607,0.006370511,0.01086527,0.007119995,0.001679555,0.0005670531,0,0.005541313,0.007379391,0.1117543,0.004039515,0.0009025673,0,0,0,0,0.02544382,0.03076083,0.01548521,0,0.1603994,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0.01079402,0.0003023823,0.0002529027,0,0.002382413,0.01054607,0.006814679,0.02178949,0.05263104,0.001502437,0.05172362,0.0003810044,0.1523581,0.006852362,0.03512221,0.001535994,0.03652951,0.7129641,0.01924965,0.03001944,0.02567734,0.004208938,0.008894633,0.6941061,0.231563,0.114335,0.03926371,0.4876194,0.6213925,0.1106267,0.001649376,0.03575854,0.1702715,0.006369155,0.01085905,0.006926319,0.001659606,0.000566178,0,0.005523889,0.007377997,0.1101002,0.004062945,0.0009046676,0,0,0,0,0.02538282,0.03040817,0.01546393,0,0.1604095,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0.01075573,0.0003002976,0.0002521531,0,0.002337046,0.0105011,0.006760936,0.02171632,0.05175486,0.001369527,0.05197623,0.0002703997,0.1496558,0.006252015,0.03400266,0.001536451,0.0364108,0.7116614,0.01887643,0.03007164,0.02578077,0.004139705,0.008865834,0.6934247,0.2272301,0.111722,0.03915989,0.4782338,0.6210276,0.1105078,0.001648648,0.03560528,0.170319,0.006363995,0.01084497,0.006702615,0.001639079,0.0005642493,0,0.00550856,0.00737777,0.1089501,0.004075127,0.0009073153,0,0,0,0,0.02535794,0.0301061,0.01543874,0,0.1607368,0,0,0,0,0,0,0,0,0,0,0
