;Baleen whales;Toothed whales;Seals;Surface-feeding seabirds;Juvenile sharks;Spurdog;Large piscivorous sharks;Small sharks;Juvenile rays;Starry ray + others;Thornback & Spotted ray;Skate + cuckoo ray;Cod (juvenile 0-2);Cod (adult);Whiting (juvenile 0-1);Whiting (adult);Haddock (juvenile 0-1);Haddock (adult);Saithe (juvenile 0-3);Saithe (adult);Hake;Blue whiting;Norway pout;Other gadoids (large);Other gadoids (small);Monkfish;Gurnards;Herring (juvenile 0-1);Herring (adult);Sprat;Mackerel;Horse mackerel;Sandeels;Plaice;Dab;Long-rough dab;Flounder;Sole;Lemon sole;Witch;Turbot;Megrim;Halibut;Dragonets;Catfish (Wolf-fish);Large demersal fish;Small demersal fish;Miscellaneous filterfeeding pelagic fish;Squid & cuttlefish;Fish larvae;Carnivorous zooplankton;Herbivorous & Omnivorous zooplankton (copepods);Gelatinous zooplankton;Large crabs;Nephrops;Epifaunal macrobenthos (mobile grazers);Infaunal macrobenthos;Shrimp;Small mobile epifauna (swarming crustaceans);Small infauna (polychaetes);Sessile epifauna;Meiofauna;Benthic microflora (incl Bacteria protozoa));Planktonic microflora (incl Bacteria protozoa);Diving seabirds;Phytoplankton;Detritus - DOM -water column;Detritus - POM - sediment;Discards;Demersal trawl + dem seine;Beam trawl;Industrial trawl;Pelagic trawl;Drift and fixed nets;Nephrops trawl;Gears using hooks;Shrimp trawlers;Dredges;Pots;Other
Gurnards;0;0;0;0;0;0;7,81E-05;2,37E-06;0;0,000265174;0;0,000253058;0,0016857;0,002913165;0;0,00070441;5,86E-06;0;0;0,000241666;9,24E-05;0;0;0;0;0;5,76E-05;0;0;0;0;0,01286379;0;0;0;0;0;0;0;0;0;0,000653415;0;0;0;0;0,0136228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,48E-05;0;0,06639242;0,1549157;0;0,001587582;0,005903429;0;0;6,47E-07;0,000522996;0,00E+00;2,99E-06;1,80E-08;0;0
Herring (juvenile 0-1);0,05319659;0,000329626;1,85E-06;0;1,25E-06;0,000459706;1,44E-06;0;0;0,00019888;0,000485809;0,001223114;0,04069763;0,001001401;0,000139174;0,04085172;0;0,000366623;1,68E-05;0,00314166;7,08E-05;0;0;0,004826589;0;0,000706789;5,76E-05;0;0;0;0,001297489;0,01050105;0;0,00039676;0;0;0;0;0;0;7,94E-05;0;0;0;0;0;4,45E-05;0;0,000809919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1007206;0,2350148;0;0,000466441;0;2,45E-03;0,01843836;7,12E-09;0,000128908;0,00E+00;8,08E-05;0;0;0
Herring (adult);0,06632991;0,000988879;0,001310009;0,007361982;0,000156516;0,04870697;0,000162913;3,20E-05;0;0,005568643;0;0;0,0016857;0,0279937;0;0;0;0;0;0,1530553;0;0;0;0,02536804;0;0,008495751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02052081;0;0,9729723;2,270268;0;0,000146534;1,01E-06;0,05277631;0,8036423;0,000197456;0,001155593;3,10E-07;1,22E-05;0;1,31E-06;0,001329465
Sprat;0,006853869;0,03128453;0,000601316;0,006759059;5,78E-05;0,01061703;0;8,17E-05;4,56E-05;0,000132587;0,002914852;0;0,02456306;0,00660014;0,006726747;0,493038;0;0,000282018;0,1139037;0,04567491;0,003344546;0,02125476;0;0;0,004487284;0,000264154;0,008986193;0;0;0;0,07836834;0,0160141;0;0;0;0;0;0;0;0;0,0097004;0,03559002;0,01053873;0;0;3,20E-05;0,001753429;0;0,009629037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01892089;0;0,243636;0,568484;0;1,27E-07;0;0,15;0,000372729;4,17E-06;1,39E-06;6,33E-08;0,00E+00;1,56E-06;1,50E-07;2,30E-05
Mackerel;0,06365278;0,005873341;0;0,000920248;3,43E-05;0,02128878;0,000246769;2,78E-05;0;0;0;0;0;0,006144958;0;0;0;0;0;0,003061105;0,005334027;0;0;0;0;0,004854714;0,00046083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00699099;0;0,1115455;0,2602729;0;0,001651459;3,08E-05;0,009186609;0,2004149;2,13E-04;0,006300042;0,000804855;9,57E-07;7,23E-06;2,66E-05;0,00015471
Horse mackerel;0;0,003685821;0,00266297;0;0;0,005034878;0;0;0;0;0;0;0,000642974;0,001411064;0,000742262;0,02606319;0;0;0;0;0,005826778;0;0;0;0;0;0,00074885;0;0;0;0,008174181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000390415;0;0;0,009629037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2418913;0,564413;0;0,01134835;9,53E-05;2,84E-05;0,07546465;3,90E-06;0,001686922;1,81E-08;5,57E-05;0;1,14E-08;1,58E-08
Sandeels;0,3316496;0,08183721;0,06470587;0,03185961;3,60E-05;0,01004239;0;6,57E-05;0,1803721;0,2652;0,005510891;0,03511181;0,09631624;0,02439776;0,1433029;0,58695;0,007609321;0,08333617;0,009376824;0,01619163;0;0;0;0,06211187;0,001151236;0,01213679;0,2304;0;0;0;0,3443536;0,1110486;0;0,01487849;0;0,03261674;0;0;0;0;0,01029569;0,001939166;0,04217597;0;0;3,84E-06;0,3371754;0;0,03842616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1156817;0;0,5933665;1,384522;0;9,48E-05;0;0,75;0,1;1,99E-09;2,10E-05;1,14E-05;2,04E-04;8,41E-06;5,51E-09;0,0003051
Plaice;0;0;0,01320747;0,000412525;0;0,01234092;9,86E-05;1,18E-05;0;0;0,0013967;0;1,69E-05;0,008739496;0;0;0;1,07E-05;0;0;0;0;0;0;0;0,000264154;1,96E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000104343;0;0,140161;0,3270423;0;0,1300104;0,216535;0,000166262;8,70E-05;0,003368172;0,02535613;1,34E-06;5,50E-03;6,19E-06;6,77E-06;0
Dab;0;0;0,01060893;0;1,68E-05;0,001778625;9,86E-05;3,49E-05;0,00132124;0,01836326;0;0,000263602;0,005129346;0,09554999;0,000139174;0,070434;0;5,64E-05;0;0,000483332;0;0;0;0;0,00575618;0,002156065;0,005414757;0;0;0;0;0;0;0;0;0,0530547;0,04848485;0;0;0;0,003911909;0;0;0;0;1,28E-05;0,05004017;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,48E-05;0;1,075787;2,510168;0;0,02363309;0,09154402;2,34E-05;0,000218177;3,64E-04;0,02053014;4,10E-08;1,28E-03;5,07E-07;1,10E-06;0,02005072
Long-rough dab;0;1,98E-05;0,002276409;0;0;0;0;1,24E-05;0,00054672;0,01292721;0;0,000168705;0,01822162;0,0254902;0,001994828;0,01573183;0,00121986;0,000930658;0;0,000322222;0;0;0;0,002746443;0;0,003226958;0,009562232;0;0;0;0;0;0;0;0;0;0,03520352;0;0;0;0;0;0;0;0;0;0;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1165574;0,2719672;0;0,000309864;3,29E-09;9,67E-05;3,83E-06;2,82E-08;0,000603821;7,57E-11;0,00E+00;2,13E-09;2,87E-10;1,65E-08
